Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path;DescribingPath;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;#Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfClauses;NumberOfLiterals;ClauseDensity;RatioOptionalFeatures;ConnectivityDensity;Void;#CORE;#Dead;NumberOfValidConfigurations;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
e_agribusiness;Pereira2016;False;;e_commerce;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/e_commerce/e_agribusiness/Pereira2016.xml;e_commerce/e_agribusiness/Pereira2016;2238.0;2008.0;14.0;0.0;0.0;0.0;0.0;5.0;9.72608695652174;;;;;;;;;;;
e_shop;Lau2006;False;;e_commerce;SXFM;xml;2011;[];True;https://martinfjohansen.com/models2011/spltool/;https://gsd.uwaterloo.ca/sites/default/files/2006-lau-domain-analysis-of-e-commerce-systems-using-feature-based-model-templates.pdf;feature_models/original/e_commerce/e_shop/Lau2006.xml;e_commerce/e_shop/Lau2006;173.0;103.0;1.0;0.0;0.0;0.0;0.0;13.0;2.45714285714286;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2017-05-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-05-22.xml;finance/FinancialServices01/Nieke2018-2017-05-22;557.0;433.0;3.0;1001.0;3.36463536463536;1.79712746858169;0.910233393177738;7.0;4.48387096774194;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2017-09-28;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-09-28.xml;finance/FinancialServices01/Nieke2018-2017-09-28;704.0;551.0;4.0;1136.0;3.80369718309859;1.61363636363636;0.909090909090909;7.0;4.59477124183007;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2017-10-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-10-20.xml;finance/FinancialServices01/Nieke2018-2017-10-20;712.0;557.0;4.0;1142.0;3.85551663747811;1.60393258426966;0.907303370786517;7.0;4.58709677419355;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2017-11-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-11-20.xml;finance/FinancialServices01/Nieke2018-2017-11-20;711.0;556.0;4.0;1148.0;3.8493031358885;1.61462728551336;0.907172995780591;7.0;4.58064516129032;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2017-12-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-12-22.xml;finance/FinancialServices01/Nieke2018-2017-12-22;716.0;556.0;4.0;1148.0;3.85278745644599;1.60335195530726;0.903631284916201;7.0;4.46875;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2018-01-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-01-23.xml;finance/FinancialServices01/Nieke2018-2018-01-23;712.0;550.0;6.0;1028.0;4.07782101167315;1.4438202247191;0.898876404494382;7.0;4.38888888888889;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2018-02-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-02-20.xml;finance/FinancialServices01/Nieke2018-2018-02-20;759.0;580.0;6.0;1034.0;4.13152804642166;1.36231884057971;0.843214756258234;7.0;4.23463687150838;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2018-03-26;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-03-26.xml;finance/FinancialServices01/Nieke2018-2018-03-26;771.0;588.0;7.0;1080.0;4.24444444444444;1.40077821011673;0.891050583657588;7.0;4.20765027322404;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2018-04-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-04-23.xml;finance/FinancialServices01/Nieke2018-2018-04-23;774.0;591.0;7.0;1079.0;4.24559777571826;1.39405684754522;0.885012919896641;7.0;4.22404371584699;;;;;;;;;;;
FinancialServices01;Nieke2018;True;2018-05-09;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-05-09.xml;finance/FinancialServices01/Nieke2018-2018-05-09;771.0;587.0;7.0;1080.0;4.30555555555556;1.40077821011673;0.898832684824903;7.0;4.18478260869565;;;;;;;;;;;
bank;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/bank/AlHajjaji2019.xml;finance/bank/AlHajjaji2019;176.0;148.0;3.0;4.0;2.0;0.0227272727272727;0.0284090909090909;6.0;6.25;280.0;595.0;0.470588235294118;0.903409090909091;268.0;True;17.0;17.0;5.25822799036219E+031;93.0;70.0
decisional;Mendonca2009;False;;finance;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/finance/decisional/Mendonca2009.xml;finance/decisional/Mendonca2009;142.0;127.0;12.0;88.0;2.0;0.619718309859155;0.676056338028169;4.0;9.4;;;;;;;;;;;
decisionmaking;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/decisionmaking/AlHajjaji2019.xml;finance/decisionmaking/AlHajjaji2019;366.0;344.0;13.0;192.0;4.88020833333333;0.524590163934426;0.934426229508197;4.0;16.5909090909091;;;;;;;;;;;
Tankwar;Schulze2012;False;;games;FeatureIDE;xml;2012;[];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/.-2110147.2110156;feature_models/original/games/Tankwar/Schulze2012.xml;games/Tankwar/Schulze2012;144.0;131.0;10.0;0.0;0.0;0.0;0.0;4.0;11.0;;;;;;;;;;;
pc-richmond;Sprey2020;False;;hardware;FeatureIDE;xml;2019;['Manual'];True;https://github.com/Subaro/SMT-Based-Variability-Analyses-for-FeatureIDE;https://doi.org/10.1145/3377024.3377036;feature_models/original/hardware/pc-richmond/Sprey2020.xml;hardware/pc-richmond/Sprey2020;364.0;275.0;23.0;12.0;11.333333333333334;0.0329670329670329;0.2417582417582417;5.0;4.078651685393258;1314.0;3183.0;0.412818096135721;0.9752747252747253;1646.0;True;9.0;9.0;554424990964054425600;1283.0;1085.0
printer;Mendonca2009;False;;hardware;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/hardware/printer/Mendonca2009.xml;hardware/printer/Mendonca2009;172.0;136.0;13.0;0.0;0.0;0.0;0.0;4.0;4.75;309.0;711.0;0.4345991561181435;0.7151162790697675;472.0;True;49.0;49.0;2278241108363321839974600000;301.0;234.0
routefinding;Mendonca2009;False;;navigation;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/routefinding/Mendonca2009.xml;navigation/routefinding/Mendonca2009;103.0;56.0;1.0;2.0;17.0;0.0194174757281553;0.3300970873786408;10.0;2.1702127659574466;185.0;429.0;0.4312354312354312;0.5825242718446602;376.0;True;43.0;43.0;1777705574400;274.0;257.0
subseacontrolsystem;Mendonca2009;False;;navigation;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/subseacontrolsystem/Mendonca2009.xml;navigation/subseacontrolsystem/Mendonca2009;145.0;94.0;6.0;13.0;2.0;0.0896551724137931;0.179310344827586;11.0;2.82352941176471;;;;;;;;;;;
CVE;VarelaVaca2020;False;2002-2436;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2002-2436.afm;security/CVE/VarelaVaca2020-2002-2436;309.0;295.0;4.0;264.0;3.10606060606061;0.854368932038835;0.954692556634304;5.0;22.0;13929.0;28312.0;0.491982198361119;0.977346278317152;13829.0;True;7.0;7.0;1220;13521.0;13394.0
CVE;VarelaVaca2020;False;2002-2437;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2002-2437.afm;security/CVE/VarelaVaca2020-2002-2437;309.0;295.0;4.0;264.0;3.10606060606061;0.854368932038835;0.954692556634304;5.0;22.0;13929.0;28312.0;0.491982198361119;0.977346278317152;13829.0;True;7.0;7.0;1220;13521.0;13384.0
CVE;VarelaVaca2020;False;2005-4134;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2005-4134.afm;security/CVE/VarelaVaca2020-2005-4134;102.0;84.0;6.0;37.0;2.37837837837838;0.362745098039216;0.431372549019608;5.0;5.61111111111111;1100.0;2288.0;0.480769230769231;0.0784313725490196;1079.0;True;1.0;1.0;6;978.0;913.0
CVE;VarelaVaca2020;False;2006-2894;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2006-2894.afm;security/CVE/VarelaVaca2020-2006-2894;138.0;121.0;5.0;76.0;2.18421052631579;0.550724637681159;0.601449275362319;5.0;8.05882352941176;2563.0;5250.0;0.488190476190476;0.0652173913043478;2544.0;True;1.0;1.0;12;2407.0;2299.0
CVE;VarelaVaca2020;False;2006-6497;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2006-6497.afm;security/CVE/VarelaVaca2020-2006-6497;129.0;115.0;4.0;96.0;2.48958333333333;0.744186046511628;0.86046511627907;5.0;9.14285714285714;1793.0;3721.0;0.481859715130341;0.945736434108527;1766.0;True;7.0;7.0;440;1638.0;1539.0
CVE;VarelaVaca2020;False;2007-0008;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0008.afm;security/CVE/VarelaVaca2020-2007-0008;123.0;107.0;4.0;87.0;2.54022988505747;0.707317073170732;0.829268292682927;5.0;7.625;1724.0;3575.0;0.482237762237762;0.943089430894309;1695.0;True;7.0;7.0;400;1573.0;1490.0
CVE;VarelaVaca2020;False;2007-0009;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0009.afm;security/CVE/VarelaVaca2020-2007-0009;133.0;110.0;6.0;55.0;2.6;0.413533834586466;0.518796992481203;5.0;5.73913043478261;1371.0;2864.0;0.478701117318436;0.0601503759398496;1337.0;True;1.0;1.0;6;1205.0;1132.0
CVE;VarelaVaca2020;False;2007-0776;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0776.afm;security/CVE/VarelaVaca2020-2007-0776;121.0;107.0;4.0;89.0;2.52808988764045;0.735537190082645;0.859504132231405;5.0;8.57142857142857;1953.0;4033.0;0.484254897098934;0.942148760330579;1926.0;True;7.0;7.0;400;1806.0;1720.0
CVE;VarelaVaca2020;False;2007-2292;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-2292.afm;security/CVE/VarelaVaca2020-2007-2292;102.0;88.0;5.0;76.0;2.18421052631579;0.745098039215686;0.813725490196078;5.0;7.21428571428571;2011.0;4114.0;0.488818667963053;0.0686274509803922;1994.0;True;1.0;1.0;6;1893.0;1810.0
CVE;VarelaVaca2020;False;2007-3073;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-3073.afm;security/CVE/VarelaVaca2020-2007-3073;119.0;105.0;5.0;106.0;2.29245283018868;0.890756302521008;0.521008403361345;7.0;8.42857142857143;2512.0;5130.0;0.489668615984405;0.899159663865546;2493.0;True;12.0;12.0;9744;2375.0;2282.0
CVE;VarelaVaca2020;False;2007-4841;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-4841.afm;security/CVE/VarelaVaca2020-2007-4841;145.0;131.0;4.0;112.0;2.58035714285714;0.772413793103448;0.875862068965517;5.0;10.2857142857143;2764.0;5690.0;0.485764499121265;0.951724137931035;2734.0;True;7.0;7.0;520;2590.0;2527.0
CVE;VarelaVaca2020;False;2007-4879;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-4879.afm;security/CVE/VarelaVaca2020-2007-4879;105.0;94.0;4.0;82.0;2.17073170731707;0.780952380952381;0.847619047619048;5.0;9.45454545454546;2302.0;4699.0;0.489891466269419;0.933333333333333;2285.0;True;7.0;7.0;360;2181.0;2100.0
CVE;VarelaVaca2020;False;2007-5045;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5045.afm;security/CVE/VarelaVaca2020-2007-5045;117.0;104.0;5.0;103.0;1.97087378640777;0.88034188034188;0.675213675213675;5.0;8.92307692307692;2400.0;4885.0;0.491299897645855;1.0;2359.0;False;0.0;0.0;0;2243.0;2150.0
CVE;VarelaVaca2020;False;2007-5337;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5337.afm;security/CVE/VarelaVaca2020-2007-5337;102.0;87.0;6.0;145.0;2.37931034482759;1.42156862745098;0.843137254901961;5.0;6.73333333333333;2022.0;4142.0;0.488169966199903;0.107843137254902;2003.0;True;1.0;1.0;7;1902.0;1846.0
CVE;VarelaVaca2020;False;2007-5340;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5340.afm;security/CVE/VarelaVaca2020-2007-5340;143.0;129.0;4.0;110.0;2.59090909090909;0.769230769230769;0.874125874125874;5.0;10.1428571428571;2687.0;5534.0;0.485543910372244;0.951048951048951;2657.0;True;7.0;7.0;512;2515.0;2459.0
CVE;VarelaVaca2020;False;2008-0016;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0016.afm;security/CVE/VarelaVaca2020-2008-0016;115.0;103.0;4.0;91.0;2.15384615384615;0.791304347826087;0.852173913043478;5.0;9.5;2728.0;5560.0;0.490647482014388;0.939130434782609;2710.0;True;7.0;7.0;396;2596.0;2501.0
CVE;VarelaVaca2020;False;2008-0028;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0028.afm;security/CVE/VarelaVaca2020-2008-0028;167.0;154.0;5.0;225.0;2.03111111111111;1.34730538922156;0.910179640718563;5.0;12.7692307692308;5640.0;11427.0;0.493567865581517;0.934131736526946;5622.0;True;11.0;11.0;1168;5456.0;5313.0
CVE;VarelaVaca2020;False;2008-0412;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0412.afm;security/CVE/VarelaVaca2020-2008-0412;151.0;137.0;4.0;118.0;2.55084745762712;0.781456953642384;0.880794701986755;5.0;10.7142857142857;3024.0;6216.0;0.486486486486487;0.95364238410596;2994.0;True;7.0;7.0;544;2844.0;2720.0
CVE;VarelaVaca2020;False;2008-0413;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0413.afm;security/CVE/VarelaVaca2020-2008-0413;151.0;137.0;4.0;118.0;2.55084745762712;0.781456953642384;0.880794701986755;5.0;10.7142857142857;3024.0;6216.0;0.486486486486487;0.95364238410596;2994.0;True;7.0;7.0;544;2844.0;2717.0
