Name;Origin;Domain;Format;Extension;Year;Keywords;Hierarchy;Versions;VersionRange;Variants;Source;Publication;Path;DescribingPath;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;Number_Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfAlternatives;NumberOfOrs;NumberOfClauses;NumberOfLiterals;NumberOfUnitClauses;NumberOfTwoClauses;ClauseDensity;NumberOfTautologies;NumberOfRedundantConstraints;ConnectivityDensity;Void;Number_CORE;Number_Dead;RatioOptionalFeatures;NumberOfFalseOptionalFeatures;NumberOfOptionalFeatures;NumberOfValidConfigurationsLog;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
BusyBox;Knüppel2017;systems_software;FeatureIDE;json;2017;['Automatic', 'KConfig'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/BusyBox/Knüppel2017.json;systems_software/BusyBox/Knüppel2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BusyBox;Oh2020;systems_software;DIMACS;json;2020;['Automatic', 'KConfig'];False;0;;0;https://github.com/jeho-oh/Smarch;https://apps.cs.utexas.edu/apps/tech-reports/192690;feature_models/original/systems_software/BusyBox/Oh2020.json;systems_software/BusyBox/Oh2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BusyBox;Pett2021;systems_software;DIMACS;json;2021;['KConfig', 'Automatic'];False;249;2007-05-20_17-12-43..2010-05-09_00-13-40;0;https://github.com/TUBS-ISF/SamplingStabiltyVaMoS21_data;https://doi.org/10.1145/3442391.3442410;feature_models/original/systems_software/BusyBox/Pett2021.json;systems_software/BusyBox/Pett2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BusyBox;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/BusyBox/Berger2013.json;systems_software/BusyBox/Berger2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coreboot;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/Coreboot/Berger2013.json;systems_software/Coreboot/Berger2013;12269.0;12268.0;12268.0;47091.0;2.81176870314922;3.83821012307442;0.999918493764773;2.0;12268.0;0.0;0.0;59360.0;155708.0;4593;33801;0.381226398129833;0;16683;153019;1;4593;0;0.625641861602413;4592;7676;?;?;?
Embtoolkit;Knüppel2017;systems_software;FeatureIDE;json;2017;['Automatic', 'KConfig'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/Embtoolkit/Knüppel2017.json;systems_software/Embtoolkit/Knüppel2017;1179.0;966.0;296.0;323.0;80.6687306501548;0.273960983884648;0.507209499575912;5.0;5.53051643192488;70.0;0.0;5414.0;17671.0;43;4854;0.306377680946183;0;0;10352;1;91;236;0.72264631043257;121;852;97;9174;7319
Embtoolkit;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/Embtoolkit/Berger2013.json;systems_software/Embtoolkit/Berger2013;23517.0;23516.0;23516.0;180511.0;7.30990355158411;7.67576646681124;0.999914955138836;2.0;23516.0;0.0;0.0;204028.0;1064291.0;6371;55673;0.191703208990774;?;?;?;?;?;?;?;?;?;?;?;?
Fiasco;Pett2023;systems_software;FeatureIDE;json;2023;['KConfig', 'Automatic'];False;31;2017-09-26_11-30-56..2020-12-01_14-09-14;0;https://github.com/TUBS-ISF/fiasco-case-study;https://doi.org/10.1145/3579027.3608980;feature_models/original/systems_software/Fiasco/Pett2023.json;systems_software/Fiasco/Pett2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiasco;Oh2020;systems_software;DIMACS;json;2020;['Automatic', 'KConfig'];False;0;;0;https://github.com/jeho-oh/Smarch;https://apps.cs.utexas.edu/apps/tech-reports/192690;feature_models/original/systems_software/Fiasco/Oh2020.json;systems_software/Fiasco/Oh2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiasco;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/Fiasco/Berger2013.json;systems_software/Fiasco/Berger2013;1639.0;1638.0;1638.0;5228.0;2.43840856924254;3.189749847467968;0.9957291031116534;2.0;1638.0;0.0;0.0;6867.0;15949.0;996;3652;0.43055990971220764;0;2399;6018;1;996;0;0.3923123856009762;995;643;137;4380;3397
FreeBSD;AlHajjaji2019;systems_software;FeatureIDE;json;2019;[];True;0;;0;https://github.com/zahrakhoshmanesh/FIDUS;https://doi.org/10.1007/978-3-030-32047-8_26;feature_models/original/systems_software/FreeBSD/AlHajjaji2019.json;systems_software/FreeBSD/AlHajjaji2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FreeBSD;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/FreeBSD/Berger2013.json;systems_software/FreeBSD/Berger2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freetz;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/Freetz/Berger2013.json;systems_software/Freetz/Berger2013;31013.0;31012.0;31012.0;102705.0;2.87024974441361;3.3116757488795;0.999967755457389;2.0;31012.0;0.0;0.0;133718.0;355199.0;14445;66597;0.376459393185229;?;?;?;?;?;?;?;?;?;?;?;?
Linux;Pett2019;systems_software;DIMACS;json;2019;['KConfig', 'Automatic'];True;50;2013-11-06T06_39_45+01_00..2018-01-08T11_10_40+01_00;0;https://github.com/TUBS-ISF/SamplingStabiltyVaMoS21_data;https://doi.org/10.1145/3336294.3336322;feature_models/original/systems_software/Linux/Pett2019.json;systems_software/Linux/Pett2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linux;Knüppel2017;systems_software;FeatureIDE;json;2017;['Automatic', 'KConfig'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/Linux/Knüppel2017.json;systems_software/Linux/Knüppel2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linux;Nieke2022;systems_software;xml;json;2022;['KConfig', 'Automatic'];True;0;;18;https://gitlab.com/mnieke/guided-config-evo-eval-data;https://doi.org/10.1007/s10270-021-00906-w;feature_models/original/systems_software/Linux/Nieke2022.json;systems_software/Linux/Nieke2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linux;Oh2020;systems_software;DIMACS;json;2020;['Automatic', 'KConfig'];False;0;;1;https://github.com/jeho-oh/Smarch;https://apps.cs.utexas.edu/apps/tech-reports/192690;feature_models/original/systems_software/Linux/Oh2020.json;systems_software/Linux/Oh2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linux;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;3;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/Linux/Berger2013.json;systems_software/Linux/Berger2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ToyBox;Oh2020;systems_software;DIMACS;json;2020;['Automatic', 'KConfig'];False;0;;0;https://github.com/jeho-oh/Smarch;https://apps.cs.utexas.edu/apps/tech-reports/192690;feature_models/original/systems_software/ToyBox/Oh2020.json;systems_software/ToyBox/Oh2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ToyBox;Berger2013;systems_software;DIMACS;json;2013;['Automatic', 'KConfig', 'LVAT'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/ToyBox/Berger2013.json;systems_software/ToyBox/Berger2013;545.0;544.0;544.0;1020.0;1.89313725490196;1.87155963302752;0.998165137614679;2.0;544.0;0.0;0.0;1565.0;3010.0;362;1021;0.519933554817276;0;425;1109;1;362;0;0.335779816513761;361;183;38;565;463
XSEngine;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/XSEngine/Passos2011.json;systems_software/XSEngine/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XSEngine;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/XSEngine/Knüppel2017.json;systems_software/XSEngine/Knüppel2017;1273.0;974.0;33.0;886.0;3.03837471783296;0.695993715632364;0.817753338570306;7.0;4.25418060200669;12.0;0.0;2942.0;6065.0;12;2771;0.485078318219291;6;350;1924;1;6;42;0.96229379418696;184;1225;134;650;620
XSEngine;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/XSEngine/Berger2013.json;systems_software/XSEngine/Berger2013;1261.0;1260.0;1260.0;3803.0;3.91874835656061;3.01586042823156;0.999206978588422;2.0;1260.0;0.0;0.0;5064.0;13507.0;12;3612;0.37491670985415;0;2085;3154;1;27;0;0.978588421887391;26;1234;?;1887;1715
aaed2000;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/aaed2000/Passos2011.json;systems_software/aaed2000/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aaed2000;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/aaed2000/Knüppel2017.json;systems_software/aaed2000/Knüppel2017;1298.0;992.0;34.0;904.0;3.08185840707965;0.696456086286595;0.821263482280431;8.0;4.23856209150327;13.0;0.0;3036.0;6275.0;15;2845;0.483824701195219;6;360;1984;1;6;46;0.959938366718028;191;1246;134;685;652
aaed2000;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/aaed2000/Berger2013.json;systems_software/aaed2000/Berger2013;1285.0;1284.0;1284.0;50512.0;6.76270985112449;39.3089494163424;0.999221789883269;2.0;1284.0;0.0;0.0;51797.0;246500.0;15;3692;0.210129817444219;0;48762;3237;1;31;0;0.975875486381323;30;1254;?;1945;1763
adder;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/adder/Passos2011.json;systems_software/adder/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adder;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/adder/Knüppel2017.json;systems_software/adder/Knüppel2017;1285.0;979.0;31.0;890.0;3.02808988764045;0.692607003891051;0.845136186770428;7.0;4.19607843137255;12.0;0.0;3037.0;6222.0;10;2887;0.488106718097075;6;367;1937;1;6;38;0.965758754863813;176;1241;125;651;622
adder;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/adder/Berger2013.json;systems_software/adder/Berger2013;1273.0;1272.0;1272.0;3201.0;2.64729771946267;2.51453260015711;0.999214454045562;2.0;1272.0;0.0;0.0;4474.0;10144.0;10;3695;0.441048895899054;0;1457;3177;1;26;0;0.979575805184603;25;1247;?;1897;1720
adderII;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/adderII/Passos2011.json;systems_software/adderII/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adderII;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/adderII/Knüppel2017.json;systems_software/adderII/Knüppel2017;1289.0;982.0;31.0;890.0;3.03033707865169;0.690457719162141;0.844840961986036;7.0;4.19543973941368;12.0;0.0;3044.0;6236.0;10;2894;0.488133418858242;6;367;1940;1;6;38;0.965865011636928;176;1245;126;650;624
adderII;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/adderII/Berger2013.json;systems_software/adderII/Berger2013;1277.0;1276.0;1276.0;3206.0;2.64628820960699;2.5105716523101;0.999216914643696;2.0;1276.0;0.0;0.0;4483.0;10162.0;10;3704;0.441153316276324;0;1459;3184;1;26;0;0.9796397807361;25;1251;?;1900;1725
aeb;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/aeb/Passos2011.json;systems_software/aeb/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aeb;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/aeb/Knüppel2017.json;systems_software/aeb/Knüppel2017;1226.0;930.0;31.0;875.0;3.04914285714286;0.713703099510604;0.840130505709625;7.0;4.13851351351351;12.0;0.0;2886.0;5954.0;11;2716;0.48471615720524;6;351;1880;1;6;55;0.950244698205546;179;1165;122;653;624
aeb;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/aeb/Berger2013.json;systems_software/aeb/Berger2013;1214.0;1213.0;1213.0;3767.0;3.9490310591983;3.10296540362438;0.999176276771005;2.0;1213.0;0.0;0.0;4981.0;13366.0;11;3511;0.372661978153524;0;2097;3065;1;26;0;0.978583196046129;25;1188;?;1845;1673
aim711;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/aim711/Passos2011.json;systems_software/aim711/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aim711;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/aim711/Knüppel2017.json;systems_software/aim711/Knüppel2017;1277.0;966.0;32.0;912.0;3.0405701754386;0.714173844949099;0.83868441660141;8.0;4.10289389067524;12.0;0.0;3014.0;6210.0;14;2840;0.485346215780998;6;370;1948;1;6;44;0.960845732184808;183;1227;128;670;629
aim711;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/aim711/Berger2013.json;systems_software/aim711/Berger2013;1265.0;1264.0;1264.0;3873.0;3.89723728375936;3.06166007905138;0.999209486166008;2.0;1264.0;0.0;0.0;5138.0;13684.0;14;3661;0.375475007307805;0;2134;3184;1;28;0;0.977865612648221;27;1237;?;1913;1734
aki3068net;Passos2011;systems_software;Clafer;json;2011;['CDL', 'Automatic'];True;0;;0;https://gsd.uwaterloo.ca/FOSD11;https://doi.org/10.1145/2019136.2019139;feature_models/original/systems_software/aki3068net/Passos2011.json;systems_software/aki3068net/Passos2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aki3068net;Knüppel2017;systems_software;FeatureIDE;json;2017;['CDL', 'Automatic'];True;0;;0;https://github.com/AlexanderKnueppel/is-there-a-mismatch;https://doi.org/10.1145/3106237.3106252;feature_models/original/systems_software/aki3068net/Knüppel2017.json;systems_software/aki3068net/Knüppel2017;1220.0;920.0;32.0;851.0;2.98119858989424;0.697540983606557;0.840163934426229;7.0;4.06333333333333;12.0;0.0;2859.0;5863.0;10;2713;0.48763431690261;6;343;1842;1;6;40;0.962295081967213;167;1174;122;621;598
aki3068net;Berger2013;systems_software;DIMACS;json;2013;['CDL', 'Automatic'];False;0;;0;https://gsd.uwaterloo.ca/industrial-variability-modeling;https://doi.org/10.1109/TSE.2013.34;feature_models/original/systems_software/aki3068net/Berger2013.json;systems_software/aki3068net/Berger2013;1208.0;1207.0;1207.0;3080.0;2.68603896103896;2.54966887417219;0.999172185430464;2.0;1207.0;0.0;0.0;4288.0;9793.0;10;3494;0.4378637802512;0;1427;3016;1;26;0;0.978476821192053;25;1182;282;1801;1629
