Name;Domain;Format;Publication;Keywords;Source;ConvertedFrom;Conversion_Tool
CVE-2005-0584;cve;.afm;;;;;
CVE-2005-0585;cve;.afm;;;;;
CVE-2005-0586;cve;.afm;;;;;
CVE-2005-0587;cve;.afm;;;;;
CVE-2005-0588;cve;.afm;;;;;
CVE-2005-0590;cve;.afm;;;;;
CVE-2005-0592;cve;.afm;;;;;
CVE-2005-0593;cve;.afm;;;;;
CVE-2005-0989;cve;.afm;;;;;
CVE-2005-1102;cve;.afm;;;;;
CVE-2005-1153;cve;.afm;;;;;
CVE-2005-1154;cve;.afm;;;;;
CVE-2005-1155;cve;.afm;;;;;
CVE-2005-1156;cve;.afm;;;;;
CVE-2005-1157;cve;.afm;;;;;
CVE-2005-1159;cve;.afm;;;;;
CVE-2005-1160;cve;.afm;;;;;
CVE-2005-1531;cve;.afm;;;;;
CVE-2005-1532;cve;.afm;;;;;
CVE-2005-1575;cve;.afm;;;;;
CVE-2005-1576;cve;.afm;;;;;
CVE-2005-1687;cve;.afm;;;;;
CVE-2005-1688;cve;.afm;;;;;
CVE-2005-1810;cve;.afm;;;;;
CVE-2005-1918;cve;.afm;;;;;
CVE-2005-1937;cve;.afm;;;;;
CVE-2005-2107;cve;.afm;;;;;
CVE-2005-2108;cve;.afm;;;;;
CVE-2005-2109;cve;.afm;;;;;
CVE-2005-2110;cve;.afm;;;;;
CVE-2005-2114;cve;.afm;;;;;
CVE-2005-2260;cve;.afm;;;;;
CVE-2005-2261;cve;.afm;;;;;
CVE-2005-2263;cve;.afm;;;;;
CVE-2005-2265;cve;.afm;;;;;
CVE-2005-2266;cve;.afm;;;;;
CVE-2005-2268;cve;.afm;;;;;
CVE-2005-2269;cve;.afm;;;;;
CVE-2005-2270;cve;.afm;;;;;
CVE-2005-2395;cve;.afm;;;;;
CVE-2005-2414;cve;.afm;;;;;
CVE-2005-2602;cve;.afm;;;;;
CVE-2005-2612;cve;.afm;;;;;
CVE-2005-2701;cve;.afm;;;;;
CVE-2005-2702;cve;.afm;;;;;
CVE-2005-2703;cve;.afm;;;;;
CVE-2005-2704;cve;.afm;;;;;
CVE-2005-2705;cve;.afm;;;;;
CVE-2005-2706;cve;.afm;;;;;
CVE-2005-2707;cve;.afm;;;;;
CVE-2005-2871;cve;.afm;;;;;
CVE-2005-2968;cve;.afm;;;;;
CVE-2005-3330;cve;.afm;;;;;
CVE-2005-4134;cve;.afm;;;;;
CVE-2005-4463;cve;.afm;;;;;
CVE-2005-4685;cve;.afm;;;;;
CVE-2005-4720;cve;.afm;;;;;
CVE-2005-4809;cve;.afm;;;;;
CVE-2006-0292;cve;.afm;;;;;
CVE-2006-0294;cve;.afm;;;;;
CVE-2006-0295;cve;.afm;;;;;
CVE-2006-0296;cve;.afm;;;;;
CVE-2006-0297;cve;.afm;;;;;
CVE-2006-0298;cve;.afm;;;;;
CVE-2006-0299;cve;.afm;;;;;
CVE-2006-0496;cve;.afm;;;;;
CVE-2006-0733;cve;.afm;;;;;
CVE-2006-0748;cve;.afm;;;;;
CVE-2006-0749;cve;.afm;;;;;
CVE-2006-0985;cve;.afm;;;;;
CVE-2006-0986;cve;.afm;;;;;
CVE-2006-1012;cve;.afm;;;;;
CVE-2006-1263;cve;.afm;;;;;
CVE-2006-1273;cve;.afm;;;;;
CVE-2006-1724;cve;.afm;;;;;
CVE-2006-1725;cve;.afm;;;;;
CVE-2006-1727;cve;.afm;;;;;
CVE-2006-1728;cve;.afm;;;;;
CVE-2006-1729;cve;.afm;;;;;
CVE-2006-1730;cve;.afm;;;;;
CVE-2006-1731;cve;.afm;;;;;
CVE-2006-1732;cve;.afm;;;;;
CVE-2006-1733;cve;.afm;;;;;
CVE-2006-1734;cve;.afm;;;;;
CVE-2006-1735;cve;.afm;;;;;
CVE-2006-1736;cve;.afm;;;;;
CVE-2006-1737;cve;.afm;;;;;
CVE-2006-1738;cve;.afm;;;;;
CVE-2006-1739;cve;.afm;;;;;
CVE-2006-1741;cve;.afm;;;;;
CVE-2006-1742;cve;.afm;;;;;
CVE-2006-1790;cve;.afm;;;;;
CVE-2006-1796;cve;.afm;;;;;
CVE-2006-1942;cve;.afm;;;;;
CVE-2006-1993;cve;.afm;;;;;
CVE-2006-2057;cve;.afm;;;;;
CVE-2006-2332;cve;.afm;;;;;
CVE-2006-2538;cve;.afm;;;;;
CVE-2006-2613;cve;.afm;;;;;
CVE-2006-2667;cve;.afm;;;;;
CVE-2006-2702;cve;.afm;;;;;
CVE-2006-2723;cve;.afm;;;;;
CVE-2006-2775;cve;.afm;;;;;
CVE-2006-2776;cve;.afm;;;;;
CVE-2006-2777;cve;.afm;;;;;
CVE-2006-2778;cve;.afm;;;;;
CVE-2006-2779;cve;.afm;;;;;
CVE-2006-2780;cve;.afm;;;;;
CVE-2006-2782;cve;.afm;;;;;
CVE-2006-2783;cve;.afm;;;;;
CVE-2006-2784;cve;.afm;;;;;
CVE-2006-2785;cve;.afm;;;;;
CVE-2006-2786;cve;.afm;;;;;
CVE-2006-2787;cve;.afm;;;;;
CVE-2006-2894;cve;.afm;;;;;
CVE-2006-3113;cve;.afm;;;;;
CVE-2006-3227;cve;.afm;;;;;
CVE-2006-3352;cve;.afm;;;;;
CVE-2006-3389;cve;.afm;;;;;
CVE-2006-3390;cve;.afm;;;;;
CVE-2006-3677;cve;.afm;;;;;
CVE-2006-3731;cve;.afm;;;;;
CVE-2006-3801;cve;.afm;;;;;
CVE-2006-3802;cve;.afm;;;;;
CVE-2006-3803;cve;.afm;;;;;
CVE-2006-3805;cve;.afm;;;;;
CVE-2006-3806;cve;.afm;;;;;
CVE-2006-3807;cve;.afm;;;;;
CVE-2006-3808;cve;.afm;;;;;
CVE-2006-3809;cve;.afm;;;;;
CVE-2006-3810;cve;.afm;;;;;
CVE-2006-3811;cve;.afm;;;;;
CVE-2006-3812;cve;.afm;;;;;
CVE-2006-4028;cve;.afm;;;;;
CVE-2006-4208;cve;.afm;;;;;
CVE-2006-4310;cve;.afm;;;;;
CVE-2006-4561;cve;.afm;;;;;
CVE-2006-4565;cve;.afm;;;;;
CVE-2006-4566;cve;.afm;;;;;
CVE-2006-4567;cve;.afm;;;;;
CVE-2006-4568;cve;.afm;;;;;
CVE-2006-4569;cve;.afm;;;;;
CVE-2006-4743;cve;.afm;;;;;
CVE-2006-4992;cve;.afm;;;;;
CVE-2006-5143;cve;.afm;;;;;
CVE-2006-5159;cve;.afm;;;;;
CVE-2006-5160;cve;.afm;;;;;
CVE-2006-5462;cve;.afm;;;;;
CVE-2006-5463;cve;.afm;;;;;
CVE-2006-5464;cve;.afm;;;;;
CVE-2006-5705;cve;.afm;;;;;
CVE-2006-5747;cve;.afm;;;;;
CVE-2006-5748;cve;.afm;;;;;
CVE-2006-6016;cve;.afm;;;;;
CVE-2006-6017;cve;.afm;;;;;
CVE-2006-6077;cve;.afm;;;;;
CVE-2006-6497;cve;.afm;;;;;
CVE-2006-6498;cve;.afm;;;;;
CVE-2006-6499;cve;.afm;;;;;
CVE-2006-6500;cve;.afm;;;;;
CVE-2006-6501;cve;.afm;;;;;
CVE-2006-6502;cve;.afm;;;;;
CVE-2006-6503;cve;.afm;;;;;
CVE-2006-6504;cve;.afm;;;;;
CVE-2006-6506;cve;.afm;;;;;
CVE-2006-6507;cve;.afm;;;;;
CVE-2006-6585;cve;.afm;;;;;
CVE-2006-6808;cve;.afm;;;;;
CVE-2006-6863;cve;.afm;;;;;
CVE-2006-6971;cve;.afm;;;;;
CVE-2007-0008;cve;.afm;;;;;
CVE-2007-0009;cve;.afm;;;;;
CVE-2007-0045;cve;.afm;;;;;
CVE-2007-0046;cve;.afm;;;;;
CVE-2007-0106;cve;.afm;;;;;
CVE-2007-0107;cve;.afm;;;;;
CVE-2007-0109;cve;.afm;;;;;
CVE-2007-0233;cve;.afm;;;;;
CVE-2007-0262;cve;.afm;;;;;
CVE-2007-0539;cve;.afm;;;;;
CVE-2007-0540;cve;.afm;;;;;
CVE-2007-0541;cve;.afm;;;;;
CVE-2007-0775;cve;.afm;;;;;
CVE-2007-0776;cve;.afm;;;;;
CVE-2007-0777;cve;.afm;;;;;
CVE-2007-0778;cve;.afm;;;;;
CVE-2007-0779;cve;.afm;;;;;
CVE-2007-0780;cve;.afm;;;;;
CVE-2007-0800;cve;.afm;;;;;
CVE-2007-0801;cve;.afm;;;;;
CVE-2007-0802;cve;.afm;;;;;
CVE-2007-0872;cve;.afm;;;;;
CVE-2007-0981;cve;.afm;;;;;
CVE-2007-0994;cve;.afm;;;;;
CVE-2007-0995;cve;.afm;;;;;
CVE-2007-0996;cve;.afm;;;;;
CVE-2007-1004;cve;.afm;;;;;
CVE-2007-1049;cve;.afm;;;;;
CVE-2007-1084;cve;.afm;;;;;
CVE-2007-1092;cve;.afm;;;;;
CVE-2007-1095;cve;.afm;;;;;
CVE-2007-1116;cve;.afm;;;;;
CVE-2007-1230;cve;.afm;;;;;
CVE-2007-1244;cve;.afm;;;;;
CVE-2007-1256;cve;.afm;;;;;
CVE-2007-1277;cve;.afm;;;;;
CVE-2007-1362;cve;.afm;;;;;
CVE-2007-1377;cve;.afm;;;;;
CVE-2007-1409;cve;.afm;;;;;
CVE-2007-1562;cve;.afm;;;;;
CVE-2007-1599;cve;.afm;;;;;
CVE-2007-1622;cve;.afm;;;;;
CVE-2007-1732;cve;.afm;;;;;
CVE-2007-1733;cve;.afm;;;;;
CVE-2007-1736;cve;.afm;;;;;
CVE-2007-1762;cve;.afm;;;;;
CVE-2007-1878;cve;.afm;;;;;
CVE-2007-1893;cve;.afm;;;;;
CVE-2007-1894;cve;.afm;;;;;
CVE-2007-1897;cve;.afm;;;;;
CVE-2007-1970;cve;.afm;;;;;
CVE-2007-2162;cve;.afm;;;;;
CVE-2007-2176;cve;.afm;;;;;
CVE-2007-2292;cve;.afm;;;;;
CVE-2007-2627;cve;.afm;;;;;
CVE-2007-2671;cve;.afm;;;;;
CVE-2007-2714;cve;.afm;;;;;
CVE-2007-2821;cve;.afm;;;;;
CVE-2007-2828;cve;.afm;;;;;
CVE-2007-2867;cve;.afm;;;;;
CVE-2007-2868;cve;.afm;;;;;
CVE-2007-2869;cve;.afm;;;;;
CVE-2007-2870;cve;.afm;;;;;
CVE-2007-2871;cve;.afm;;;;;
CVE-2007-3072;cve;.afm;;;;;
CVE-2007-3073;cve;.afm;;;;;
CVE-2007-3074;cve;.afm;;;;;
CVE-2007-3089;cve;.afm;;;;;
CVE-2007-3140;cve;.afm;;;;;
CVE-2007-3238;cve;.afm;;;;;
CVE-2007-3239;cve;.afm;;;;;
CVE-2007-3240;cve;.afm;;;;;
CVE-2007-3241;cve;.afm;;;;;
CVE-2007-3285;cve;.afm;;;;;
CVE-2007-3288;cve;.afm;;;;;
CVE-2007-3511;cve;.afm;;;;;
CVE-2007-3543;cve;.afm;;;;;
CVE-2007-3544;cve;.afm;;;;;
CVE-2007-3639;cve;.afm;;;;;
CVE-2007-3656;cve;.afm;;;;;
CVE-2007-3657;cve;.afm;;;;;
CVE-2007-3670;cve;.afm;;;;;
CVE-2007-3734;cve;.afm;;;;;
CVE-2007-3735;cve;.afm;;;;;
CVE-2007-3736;cve;.afm;;;;;
CVE-2007-3737;cve;.afm;;;;;
CVE-2007-3738;cve;.afm;;;;;
CVE-2007-3827;cve;.afm;;;;;
CVE-2007-3844;cve;.afm;;;;;
CVE-2007-3845;cve;.afm;;;;;
CVE-2007-4014;cve;.afm;;;;;
CVE-2007-4038;cve;.afm;;;;;
CVE-2007-4041;cve;.afm;;;;;
CVE-2007-4139;cve;.afm;;;;;
CVE-2007-4153;cve;.afm;;;;;
CVE-2007-4154;cve;.afm;;;;;
CVE-2007-4165;cve;.afm;;;;;
CVE-2007-4166;cve;.afm;;;;;
CVE-2007-4357;cve;.afm;;;;;
CVE-2007-4480;cve;.afm;;;;;
CVE-2007-4481;cve;.afm;;;;;
CVE-2007-4482;cve;.afm;;;;;
CVE-2007-4483;cve;.afm;;;;;
CVE-2007-4841;cve;.afm;;;;;
CVE-2007-4879;cve;.afm;;;;;
CVE-2007-4893;cve;.afm;;;;;
CVE-2007-4894;cve;.afm;;;;;
CVE-2007-5045;cve;.afm;;;;;
CVE-2007-5105;cve;.afm;;;;;
CVE-2007-5106;cve;.afm;;;;;
CVE-2007-5161;cve;.afm;;;;;
CVE-2007-5229;cve;.afm;;;;;
CVE-2007-5334;cve;.afm;;;;;
CVE-2007-5335;cve;.afm;;;;;
CVE-2007-5337;cve;.afm;;;;;
CVE-2007-5338;cve;.afm;;;;;
CVE-2007-5340;cve;.afm;;;;;
CVE-2007-5341;cve;.afm;;;;;
CVE-2007-5414;cve;.afm;;;;;
CVE-2007-5415;cve;.afm;;;;;
CVE-2007-5459;cve;.afm;;;;;
CVE-2007-5491;cve;.afm;;;;;
CVE-2007-5691;cve;.afm;;;;;
CVE-2007-5710;cve;.afm;;;;;
CVE-2007-5896;cve;.afm;;;;;
CVE-2007-5947;cve;.afm;;;;;
CVE-2007-5959;cve;.afm;;;;;
CVE-2007-5960;cve;.afm;;;;;
CVE-2007-6013;cve;.afm;;;;;
CVE-2007-6318;cve;.afm;;;;;
CVE-2007-6589;cve;.afm;;;;;
CVE-2007-6677;cve;.afm;;;;;
CVE-2007-6715;cve;.afm;;;;;
CVE-2008-0016;cve;.afm;;;;;
CVE-2008-0028;cve;.afm;;;;;
CVE-2008-0191;cve;.afm;;;;;
CVE-2008-0192;cve;.afm;;;;;
CVE-2008-0193;cve;.afm;;;;;
CVE-2008-0194;cve;.afm;;;;;
CVE-2008-0195;cve;.afm;;;;;
CVE-2008-0196;cve;.afm;;;;;
CVE-2008-0198;cve;.afm;;;;;
CVE-2008-0222;cve;.afm;;;;;
CVE-2008-0367;cve;.afm;;;;;
CVE-2008-0388;cve;.afm;;;;;
CVE-2008-0412;cve;.afm;;;;;
CVE-2008-0413;cve;.afm;;;;;
CVE-2008-0414;cve;.afm;;;;;
CVE-2008-0415;cve;.afm;;;;;
CVE-2008-0416;cve;.afm;;;;;
CVE-2008-0417;cve;.afm;;;;;
CVE-2008-0418;cve;.afm;;;;;
CVE-2008-0419;cve;.afm;;;;;
CVE-2008-0420;cve;.afm;;;;;
CVE-2008-0490;cve;.afm;;;;;
CVE-2008-0491;cve;.afm;;;;;
CVE-2008-0507;cve;.afm;;;;;
CVE-2008-0508;cve;.afm;;;;;
CVE-2008-0520;cve;.afm;;;;;
CVE-2008-0560;cve;.afm;;;;;
CVE-2008-0592;cve;.afm;;;;;
CVE-2008-0593;cve;.afm;;;;;
CVE-2008-0594;cve;.afm;;;;;
CVE-2008-0615;cve;.afm;;;;;
CVE-2008-0616;cve;.afm;;;;;
CVE-2008-0617;cve;.afm;;;;;
CVE-2008-0618;cve;.afm;;;;;
CVE-2008-0664;cve;.afm;;;;;
CVE-2008-0682;cve;.afm;;;;;
CVE-2008-0683;cve;.afm;;;;;
CVE-2008-0691;cve;.afm;;;;;
CVE-2008-0837;cve;.afm;;;;;
CVE-2008-0845;cve;.afm;;;;;
CVE-2008-0939;cve;.afm;;;;;
CVE-2008-1059;cve;.afm;;;;;
CVE-2008-1060;cve;.afm;;;;;
CVE-2008-1061;cve;.afm;;;;;
CVE-2008-1092;cve;.afm;;;;;
CVE-2008-1233;cve;.afm;;;;;
CVE-2008-1234;cve;.afm;;;;;
CVE-2008-1235;cve;.afm;;;;;
CVE-2008-1236;cve;.afm;;;;;
CVE-2008-1237;cve;.afm;;;;;
CVE-2008-1238;cve;.afm;;;;;
CVE-2008-1240;cve;.afm;;;;;
CVE-2008-1241;cve;.afm;;;;;
CVE-2008-1243;cve;.afm;;;;;
CVE-2008-1304;cve;.afm;;;;;
CVE-2008-1319;cve;.afm;;;;;
CVE-2008-1380;cve;.afm;;;;;
CVE-2008-1522;cve;.afm;;;;;
CVE-2008-1646;cve;.afm;;;;;
CVE-2008-1678;cve;.afm;;;;;
CVE-2008-1930;cve;.afm;;;;;
CVE-2008-1973;cve;.afm;;;;;
CVE-2008-2013;cve;.afm;;;;;
CVE-2008-2014;cve;.afm;;;;;
CVE-2008-2027;cve;.afm;;;;;
CVE-2008-2034;cve;.afm;;;;;
CVE-2008-2068;cve;.afm;;;;;
CVE-2008-2146;cve;.afm;;;;;
CVE-2008-2235;cve;.afm;;;;;
CVE-2008-2392;cve;.afm;;;;;
CVE-2008-2419;cve;.afm;;;;;
CVE-2008-2510;cve;.afm;;;;;
CVE-2008-2732;cve;.afm;;;;;
CVE-2008-2733;cve;.afm;;;;;
CVE-2008-2734;cve;.afm;;;;;
CVE-2008-2735;cve;.afm;;;;;
CVE-2008-2736;cve;.afm;;;;;
CVE-2008-2785;cve;.afm;;;;;
CVE-2008-2798;cve;.afm;;;;;
CVE-2008-2799;cve;.afm;;;;;
CVE-2008-2801;cve;.afm;;;;;
CVE-2008-2802;cve;.afm;;;;;
CVE-2008-2803;cve;.afm;;;;;
CVE-2008-2805;cve;.afm;;;;;
CVE-2008-2806;cve;.afm;;;;;
CVE-2008-2807;cve;.afm;;;;;
CVE-2008-2808;cve;.afm;;;;;
CVE-2008-2810;cve;.afm;;;;;
CVE-2008-2811;cve;.afm;;;;;
CVE-2008-2933;cve;.afm;;;;;
CVE-2008-2934;cve;.afm;;;;;
CVE-2008-3198;cve;.afm;;;;;
CVE-2008-3233;cve;.afm;;;;;
CVE-2008-3362;cve;.afm;;;;;
CVE-2008-3389;cve;.afm;;;;;
CVE-2008-3444;cve;.afm;;;;;
CVE-2008-3747;cve;.afm;;;;;
CVE-2008-3815;cve;.afm;;;;;
CVE-2008-3816;cve;.afm;;;;;
CVE-2008-3817;cve;.afm;;;;;
CVE-2008-3835;cve;.afm;;;;;
CVE-2008-3836;cve;.afm;;;;;
CVE-2008-3837;cve;.afm;;;;;
CVE-2008-3979;cve;.afm;;;;;
CVE-2008-4058;cve;.afm;;;;;
CVE-2008-4059;cve;.afm;;;;;
CVE-2008-4060;cve;.afm;;;;;
CVE-2008-4061;cve;.afm;;;;;
CVE-2008-4062;cve;.afm;;;;;
CVE-2008-4063;cve;.afm;;;;;
CVE-2008-4064;cve;.afm;;;;;
CVE-2008-4065;cve;.afm;;;;;
CVE-2008-4066;cve;.afm;;;;;
CVE-2008-4067;cve;.afm;;;;;
CVE-2008-4068;cve;.afm;;;;;
CVE-2008-4069;cve;.afm;;;;;
CVE-2008-4106;cve;.afm;;;;;
CVE-2008-4107;cve;.afm;;;;;
CVE-2008-4125;cve;.afm;;;;;
CVE-2008-4208;cve;.afm;;;;;
CVE-2008-4324;cve;.afm;;;;;
CVE-2008-4582;cve;.afm;;;;;
CVE-2008-4616;cve;.afm;;;;;
CVE-2008-4625;cve;.afm;;;;;
CVE-2008-4671;cve;.afm;;;;;
CVE-2008-4723;cve;.afm;;;;;
CVE-2008-4732;cve;.afm;;;;;
CVE-2008-4733;cve;.afm;;;;;
CVE-2008-4734;cve;.afm;;;;;
CVE-2008-4769;cve;.afm;;;;;
CVE-2008-5012;cve;.afm;;;;;
CVE-2008-5013;cve;.afm;;;;;
CVE-2008-5014;cve;.afm;;;;;
CVE-2008-5015;cve;.afm;;;;;
CVE-2008-5016;cve;.afm;;;;;
CVE-2008-5017;cve;.afm;;;;;
CVE-2008-5018;cve;.afm;;;;;
CVE-2008-5024;cve;.afm;;;;;
CVE-2008-5052;cve;.afm;;;;;
CVE-2008-5113;cve;.afm;;;;;
CVE-2008-5278;cve;.afm;;;;;
CVE-2008-5500;cve;.afm;;;;;
CVE-2008-5501;cve;.afm;;;;;
CVE-2008-5502;cve;.afm;;;;;
CVE-2008-5503;cve;.afm;;;;;
CVE-2008-5504;cve;.afm;;;;;
CVE-2008-5505;cve;.afm;;;;;
CVE-2008-5506;cve;.afm;;;;;
CVE-2008-5507;cve;.afm;;;;;
CVE-2008-5510;cve;.afm;;;;;
CVE-2008-5511;cve;.afm;;;;;
CVE-2008-5512;cve;.afm;;;;;
CVE-2008-5513;cve;.afm;;;;;
CVE-2008-5695;cve;.afm;;;;;
CVE-2008-5715;cve;.afm;;;;;
CVE-2008-5752;cve;.afm;;;;;
CVE-2008-5822;cve;.afm;;;;;
CVE-2008-5913;cve;.afm;;;;;
CVE-2008-6762;cve;.afm;;;;;
CVE-2008-6767;cve;.afm;;;;;
CVE-2008-7040;cve;.afm;;;;;
CVE-2008-7175;cve;.afm;;;;;
CVE-2008-7216;cve;.afm;;;;;
CVE-2008-7244;cve;.afm;;;;;
CVE-2008-7293;cve;.afm;;;;;
CVE-2008-7321;cve;.afm;;;;;
CVE-2009-0071;cve;.afm;;;;;
CVE-2009-0253;cve;.afm;;;;;
CVE-2009-0352;cve;.afm;;;;;
CVE-2009-0353;cve;.afm;;;;;
CVE-2009-0354;cve;.afm;;;;;
CVE-2009-0355;cve;.afm;;;;;
CVE-2009-0356;cve;.afm;;;;;
CVE-2009-0357;cve;.afm;;;;;
CVE-2009-0358;cve;.afm;;;;;
CVE-2009-0417;cve;.afm;;;;;
CVE-2009-0418;cve;.afm;;;;;
CVE-2009-0419;cve;.afm;;;;;
CVE-2009-0560;cve;.afm;;;;;
CVE-2009-0652;cve;.afm;;;;;
CVE-2009-0771;cve;.afm;;;;;
CVE-2009-0772;cve;.afm;;;;;
CVE-2009-0773;cve;.afm;;;;;
CVE-2009-0774;cve;.afm;;;;;
CVE-2009-0775;cve;.afm;;;;;
CVE-2009-0776;cve;.afm;;;;;
CVE-2009-0777;cve;.afm;;;;;
CVE-2009-0821;cve;.afm;;;;;
CVE-2009-0968;cve;.afm;;;;;
CVE-2009-1030;cve;.afm;;;;;
CVE-2009-1044;cve;.afm;;;;;
CVE-2009-1169;cve;.afm;;;;;
CVE-2009-1232;cve;.afm;;;;;
CVE-2009-1302;cve;.afm;;;;;
CVE-2009-1303;cve;.afm;;;;;
CVE-2009-1304;cve;.afm;;;;;
CVE-2009-1305;cve;.afm;;;;;
CVE-2009-1306;cve;.afm;;;;;
CVE-2009-1307;cve;.afm;;;;;
CVE-2009-1308;cve;.afm;;;;;
CVE-2009-1309;cve;.afm;;;;;
CVE-2009-1310;cve;.afm;;;;;
CVE-2009-1311;cve;.afm;;;;;
CVE-2009-1312;cve;.afm;;;;;
CVE-2009-1313;cve;.afm;;;;;
CVE-2009-1392;cve;.afm;;;;;
CVE-2009-1571;cve;.afm;;;;;
CVE-2009-1597;cve;.afm;;;;;
CVE-2009-1827;cve;.afm;;;;;
CVE-2009-1828;cve;.afm;;;;;
CVE-2009-1832;cve;.afm;;;;;
CVE-2009-1833;cve;.afm;;;;;
CVE-2009-1834;cve;.afm;;;;;
CVE-2009-1835;cve;.afm;;;;;
CVE-2009-1836;cve;.afm;;;;;
CVE-2009-1837;cve;.afm;;;;;
CVE-2009-1838;cve;.afm;;;;;
CVE-2009-1839;cve;.afm;;;;;
CVE-2009-1840;cve;.afm;;;;;
CVE-2009-1841;cve;.afm;;;;;
CVE-2009-1930;cve;.afm;;;;;
CVE-2009-2013;cve;.afm;;;;;
CVE-2009-2043;cve;.afm;;;;;
CVE-2009-2044;cve;.afm;;;;;
CVE-2009-2061;cve;.afm;;;;;
CVE-2009-2065;cve;.afm;;;;;
CVE-2009-2122;cve;.afm;;;;;
CVE-2009-2143;cve;.afm;;;;;
CVE-2009-2144;cve;.afm;;;;;
CVE-2009-2334;cve;.afm;;;;;
CVE-2009-2335;cve;.afm;;;;;
CVE-2009-2336;cve;.afm;;;;;
CVE-2009-2383;cve;.afm;;;;;
CVE-2009-2396;cve;.afm;;;;;
CVE-2009-2404;cve;.afm;;;;;
CVE-2009-2431;cve;.afm;;;;;
CVE-2009-2432;cve;.afm;;;;;
CVE-2009-2462;cve;.afm;;;;;
CVE-2009-2463;cve;.afm;;;;;
CVE-2009-2464;cve;.afm;;;;;
CVE-2009-2465;cve;.afm;;;;;
CVE-2009-2466;cve;.afm;;;;;
CVE-2009-2467;cve;.afm;;;;;
CVE-2009-2468;cve;.afm;;;;;
CVE-2009-2469;cve;.afm;;;;;
CVE-2009-2470;cve;.afm;;;;;
CVE-2009-2471;cve;.afm;;;;;
CVE-2009-2472;cve;.afm;;;;;
CVE-2009-2477;cve;.afm;;;;;
CVE-2009-2478;cve;.afm;;;;;
CVE-2009-2479;cve;.afm;;;;;
CVE-2009-2535;cve;.afm;;;;;
CVE-2009-2654;cve;.afm;;;;;
CVE-2009-2662;cve;.afm;;;;;
CVE-2009-2663;cve;.afm;;;;;
CVE-2009-2664;cve;.afm;;;;;
CVE-2009-2665;cve;.afm;;;;;
CVE-2009-2762;cve;.afm;;;;;
CVE-2009-2851;cve;.afm;;;;;
CVE-2009-2853;cve;.afm;;;;;
CVE-2009-2854;cve;.afm;;;;;
CVE-2009-2953;cve;.afm;;;;;
CVE-2009-2975;cve;.afm;;;;;
CVE-2009-3007;cve;.afm;;;;;
CVE-2009-3010;cve;.afm;;;;;
CVE-2009-3012;cve;.afm;;;;;
CVE-2009-3014;cve;.afm;;;;;
CVE-2009-3069;cve;.afm;;;;;
CVE-2009-3070;cve;.afm;;;;;
CVE-2009-3071;cve;.afm;;;;;
CVE-2009-3072;cve;.afm;;;;;
CVE-2009-3073;cve;.afm;;;;;
