Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path;DescribingPath;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;Number_Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfAlternatives;NumberOfOrs;NumberOfClauses;NumberOfLiterals;NumberOfUnitClauses;NumberOfTwoClauses;ClauseDensity;NumberOfTautologies;NumberOfRedundantConstraints;ConnectivityDensity;Void;Number_CORE;Number_Dead;RatioOptionalFeatures;NumberOfFalseOptionalFeatures;NumberOfOptionalFeatures;NumberOfValidConfigurationsLog;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
e_agribusiness;Pereira2016;False;;e_commerce;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/e_commerce/e_agribusiness/Pereira2016.xml;e_commerce/e_agribusiness/Pereira2016;2238.0;2008.0;14.0;0.0;0.0;0;0.0;5.0;9.72608695652174;0.0;125.0;2615.0;7013.0;1;2489;0.372878939113076;0;0;119100;1;1;0;0.999553172475424;0;2237;559;?;?
e_shop;Lau2006;False;;e_commerce;SXFM;xml;2011;[];True;https://martinfjohansen.com/models2011/spltool/;https://gsd.uwaterloo.ca/sites/default/files/2006-lau-domain-analysis-of-e-commerce-systems-using-feature-based-model-templates.pdf;feature_models/original/e_commerce/e_shop/Lau2006.xml;e_commerce/e_shop/Lau2006;173.0;103.0;1.0;0.0;0.0;0;0.0;13.0;2.45714285714286;0.0;0.0;289.0;577.0;1;288;0.500866551126516;0;0;172;1;50;0;0.710982658959538;0;123;15;0;0
FinancialServices01;Nieke2018;True;2017-05-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-05-22.xml;finance/FinancialServices01/Nieke2018-2017-05-22;557.0;433.0;3.0;1001.0;3.36463536463536;1.79712746858169;0.910233393177738;7.0;4.48387096774194;88.0;3.0;4992.0;10406.0;1;4893;0.479723236594273;0;20;4875;1;29;0;0.947935368043088;1;528;3;4319;4126
FinancialServices01;Nieke2018;True;2017-09-28;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-09-28.xml;finance/FinancialServices01/Nieke2018-2017-09-28;704.0;551.0;4.0;1136.0;3.80369718309859;1.61363636363636;0.909090909090909;7.0;4.59477124183007;107.0;4.0;6545.0;15719.0;1;5905;0.416375087473758;0;30;7016;1;18;0;0.974431818181818;1;686;6;6313;5827
FinancialServices01;Nieke2018;True;2017-10-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-10-20.xml;finance/FinancialServices01/Nieke2018-2017-10-20;712.0;557.0;4.0;1142.0;3.85551663747811;1.60393258426966;0.907303370786517;7.0;4.58709677419355;108.0;5.0;6779.0;16191.0;1;6139;0.418689395343092;0;30;7256;1;19;0;0.973314606741573;3;693;6;6545;6178
FinancialServices01;Nieke2018;True;2017-11-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-11-20.xml;finance/FinancialServices01/Nieke2018-2017-11-20;711.0;556.0;4.0;1148.0;3.8493031358885;1.61462728551336;0.907172995780591;7.0;4.58064516129032;107.0;5.0;6867.0;16366.0;1;6228;0.419589392643285;0;30;7344;1;19;0;0.973277074542897;3;692;6;6634;6230
FinancialServices01;Nieke2018;True;2017-12-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-12-22.xml;finance/FinancialServices01/Nieke2018-2017-12-22;716.0;556.0;4.0;1148.0;3.85278745644599;1.60335195530726;0.903631284916201;7.0;4.46875;110.0;5.0;6861.0;16354.0;1;6219;0.419530390118625;0;30;7333;1;19;0;0.973463687150838;3;697;6;6618;6207
FinancialServices01;Nieke2018;True;2018-01-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-01-23.xml;finance/FinancialServices01/Nieke2018-2018-01-23;712.0;550.0;6.0;1028.0;4.07782101167315;1.4438202247191;0.898876404494382;7.0;4.38888888888889;111.0;5.0;6683.0;15998.0;1;6039;0.417739717464683;0;30;7163;1;18;0;0.974719101123596;3;694;6;6452;6073
FinancialServices01;Nieke2018;True;2018-02-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-02-20.xml;finance/FinancialServices01/Nieke2018-2018-02-20;759.0;580.0;6.0;1034.0;4.13152804642166;1.36231884057971;0.843214756258234;7.0;4.23463687150838;121.0;9.0;6792.0;16356.0;1;6124;0.415260454878944;0;30;7330;1;18;0;0.976284584980237;3;741;13;6572;6167
FinancialServices01;Nieke2018;True;2018-03-26;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-03-26.xml;finance/FinancialServices01/Nieke2018-2018-03-26;771.0;588.0;7.0;1080.0;4.24444444444444;1.40077821011673;0.891050583657588;7.0;4.20765027322404;127.0;5.0;7112.0;17010.0;1;6438;0.418106995884774;0;40;7639;1;25;3;0.963683527885863;4;743;7;6869;6322
FinancialServices01;Nieke2018;True;2018-04-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-04-23.xml;finance/FinancialServices01/Nieke2018-2018-04-23;774.0;591.0;7.0;1079.0;4.24559777571826;1.39405684754522;0.885012919896641;7.0;4.22404371584699;126.0;5.0;7134.0;17071.0;1;6459;0.417901704645305;0;32;7676;1;23;4;0.965116279069767;3;747;14;6903;6296
FinancialServices01;Nieke2018;True;2018-05-09;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-05-09.xml;finance/FinancialServices01/Nieke2018-2018-05-09;771.0;587.0;7.0;1080.0;4.30555555555556;1.40077821011673;0.898832684824903;7.0;4.18478260869565;125.0;6.0;7238.0;17365.0;1;6477;0.416815433342931;0;32;7777;1;22;0;0.971465629053178;3;749;14;7007;6289
bank;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/bank/AlHajjaji2019.xml;finance/bank/AlHajjaji2019;176.0;148.0;3.0;4.0;2.0;0.0227272727272727;0.0284090909090909;6.0;6.25;8.0;6.0;280.0;595.0;1;265;0.470588235294118;0;0;268;1;17;0;0.903409090909091;0;159;32;93;70
decisional;Mendonca2009;False;;finance;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/finance/decisional/Mendonca2009.xml;finance/decisional/Mendonca2009;142.0;127.0;12.0;88.0;2.0;0.619718309859155;0.676056338028169;4.0;9.4;10.0;4.0;286.0;686.0;1;271;0.416909620991254;0;0;3871;1;13;0;0.908450704225352;0;129;31;3730;3636
decisionmaking;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/decisionmaking/AlHajjaji2019.xml;finance/decisionmaking/AlHajjaji2019;366.0;344.0;13.0;192.0;4.88020833333333;0.524590163934426;0.934426229508197;4.0;16.5909090909091;10.0;9.0;627.0;2130.0;1;416;0.294366197183099;0;7;12667;1;21;0;0.942622950819672;0;345;?;12302;12035
Tankwar;Schulze2012;False;;games;FeatureIDE;xml;2012;[];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/.-2110147.2110156;feature_models/original/games/Tankwar/Schulze2012.xml;games/Tankwar/Schulze2012;144.0;131.0;10.0;0.0;0.0;0;0.0;4.0;11.0;9.0;1.0;769.0;1648.0;1;758;0.466626213592233;0;0;982;1;8;0;0.944444444444444;0;136;19;839;738
pc-richmond;Sprey2020;False;;hardware;FeatureIDE;xml;2019;['Manual'];True;https://github.com/Subaro/SMT-Based-Variability-Analyses-for-FeatureIDE;https://doi.org/10.1145/3377024.3377036;feature_models/original/hardware/pc-richmond/Sprey2020.xml;hardware/pc-richmond/Sprey2020;364.0;275.0;23.0;12.0;11.3333333333333;0.032967032967033;0.241758241758242;5.0;4.07865168539326;82.0;0.0;1314.0;3183.0;1;1200;0.412818096135721;0;0;1646;1;9;0;0.975274725274725;0;355;21;1283;1085
printer;Mendonca2009;False;;hardware;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/hardware/printer/Mendonca2009.xml;hardware/printer/Mendonca2009;172.0;136.0;13.0;0.0;0.0;0;0.0;4.0;4.75;9.0;18.0;309.0;711.0;1;281;0.434599156118143;0;0;472;1;49;0;0.715116279069768;0;123;28;301;234
routefinding;Mendonca2009;False;;navigation;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/routefinding/Mendonca2009.xml;navigation/routefinding/Mendonca2009;103.0;56.0;1.0;2.0;17.0;0.0194174757281553;0.330097087378641;10.0;2.17021276595745;10.0;16.0;185.0;429.0;1;156;0.431235431235431;0;2;376;1;43;0;0.58252427184466;0;60;13;274;257
subseacontrolsystem;Mendonca2009;False;;navigation;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/subseacontrolsystem/Mendonca2009.xml;navigation/subseacontrolsystem/Mendonca2009;145.0;94.0;6.0;13.0;2.0;0.0896551724137931;0.179310344827586;11.0;2.82352941176471;29.0;0.0;378.0;826.0;1;348;0.457627118644068;0;0;307;1;24;0;0.83448275862069;1;121;11;163;131
CVE;VarelaVaca2020;False;2002-2436;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2002-2436.afm;security/CVE/VarelaVaca2020-2002-2436;309.0;295.0;4.0;264.0;3.10606060606061;0.854368932038835;0.954692556634304;5.0;22.0;7.0;0.0;13929.0;28312.0;1;13780;0.491982198361119;0;3;13829;1;7;0;0.977346278317152;0;302;4;13521;13394
CVE;VarelaVaca2020;False;2002-2437;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2002-2437.afm;security/CVE/VarelaVaca2020-2002-2437;309.0;295.0;4.0;264.0;3.10606060606061;0.854368932038835;0.954692556634304;5.0;22.0;7.0;0.0;13929.0;28312.0;1;13780;0.491982198361119;0;3;13829;1;7;0;0.977346278317152;0;302;4;13521;13384
CVE;VarelaVaca2020;False;2005-4134;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2005-4134.afm;security/CVE/VarelaVaca2020-2005-4134;102.0;84.0;6.0;37.0;2.37837837837838;0.362745098039216;0.431372549019608;5.0;5.61111111111111;8.0;0.0;1100.0;2288.0;1;1083;0.480769230769231;0;33;1079;1;1;93;0.0784313725490196;82;8;1;978;913
CVE;VarelaVaca2020;False;2006-2894;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2006-2894.afm;security/CVE/VarelaVaca2020-2006-2894;138.0;121.0;5.0;76.0;2.18421052631579;0.550724637681159;0.601449275362319;5.0;8.05882352941176;7.0;1.0;2564.0;5253.0;1;2547;0.488102036931277;0;72;2545;1;1;128;0.0652173913043478;118;9;2;2408;2298
CVE;VarelaVaca2020;False;2006-6497;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2006-6497.afm;security/CVE/VarelaVaca2020-2006-6497;129.0;115.0;4.0;96.0;2.48958333333333;0.744186046511628;0.86046511627907;5.0;9.14285714285714;7.0;0.0;1793.0;3721.0;1;1760;0.481859715130341;0;3;1766;1;7;0;0.945736434108527;0;122;3;1638;1539
CVE;VarelaVaca2020;False;2007-0008;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0008.afm;security/CVE/VarelaVaca2020-2007-0008;123.0;107.0;4.0;87.0;2.54022988505747;0.707317073170732;0.829268292682927;5.0;7.625;8.0;0.0;1724.0;3575.0;1;1690;0.482237762237762;0;4;1695;1;7;0;0.943089430894309;0;116;3;1573;1490
CVE;VarelaVaca2020;False;2007-0009;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0009.afm;security/CVE/VarelaVaca2020-2007-0009;133.0;110.0;6.0;55.0;2.6;0.413533834586466;0.518796992481203;5.0;5.73913043478261;12.0;0.0;1371.0;2864.0;1;1341;0.478701117318436;0;49;1337;1;1;124;0.0601503759398496;109;8;1;1205;1132
CVE;VarelaVaca2020;False;2007-0776;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0776.afm;security/CVE/VarelaVaca2020-2007-0776;121.0;107.0;4.0;89.0;2.52808988764045;0.735537190082645;0.859504132231405;5.0;8.57142857142857;7.0;0.0;1953.0;4033.0;1;1920;0.484254897098934;0;3;1926;1;7;0;0.942148760330579;0;114;3;1806;1720
CVE;VarelaVaca2020;False;2007-2292;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-2292.afm;security/CVE/VarelaVaca2020-2007-2292;102.0;88.0;5.0;76.0;2.18421052631579;0.745098039215686;0.813725490196078;5.0;7.21428571428571;6.0;0.0;2011.0;4114.0;1;1996;0.488818667963053;0;73;1994;1;1;94;0.0686274509803922;85;7;1;1893;1810
CVE;VarelaVaca2020;False;2007-3073;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-3073.afm;security/CVE/VarelaVaca2020-2007-3073;119.0;105.0;5.0;106.0;2.29245283018868;0.890756302521008;0.521008403361345;7.0;8.42857142857143;4.0;0.0;2512.0;5130.0;1;2499;0.489668615984405;0;1;2493;1;12;0;0.899159663865546;1;107;4;2375;2282
CVE;VarelaVaca2020;False;2007-4841;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-4841.afm;security/CVE/VarelaVaca2020-2007-4841;145.0;131.0;4.0;112.0;2.58035714285714;0.772413793103448;0.875862068965517;5.0;10.2857142857143;7.0;0.0;2764.0;5690.0;1;2722;0.485764499121265;0;3;2734;1;7;0;0.951724137931035;0;138;3;2590;2527
CVE;VarelaVaca2020;False;2007-4879;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-4879.afm;security/CVE/VarelaVaca2020-2007-4879;105.0;94.0;4.0;82.0;2.17073170731707;0.780952380952381;0.847619047619048;5.0;9.45454545454546;5.0;0.0;2302.0;4699.0;1;2288;0.489891466269419;0;2;2285;1;7;0;0.933333333333333;0;98;3;2181;2100
CVE;VarelaVaca2020;False;2007-5045;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5045.afm;security/CVE/VarelaVaca2020-2007-5045;117.0;104.0;5.0;79.0;2.26582278481013;0.675213675213675;0.675213675213675;5.0;8.92307692307692;6.0;0.0;2376.0;4861.0;1;2359;0.488788315161489;0;77;2359;1;1;109;0.0598290598290598;100;7;1;2243;2150
CVE;VarelaVaca2020;False;2007-5337;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5337.afm;security/CVE/VarelaVaca2020-2007-5337;102.0;87.0;6.0;145.0;2.37931034482759;1.42156862745098;0.843137254901961;5.0;6.73333333333333;6.0;0.0;2022.0;4142.0;1;2001;0.488169966199903;0;71;2003;1;1;90;0.107843137254902;83;11;1;1902;1846
CVE;VarelaVaca2020;False;2007-5340;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5340.afm;security/CVE/VarelaVaca2020-2007-5340;143.0;129.0;4.0;110.0;2.59090909090909;0.769230769230769;0.874125874125874;5.0;10.1428571428571;7.0;0.0;2687.0;5534.0;1;2645;0.485543910372244;0;3;2657;1;7;0;0.951048951048951;0;136;3;2515;2459
CVE;VarelaVaca2020;False;2008-0016;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0016.afm;security/CVE/VarelaVaca2020-2008-0016;115.0;103.0;4.0;91.0;2.15384615384615;0.791304347826087;0.852173913043478;5.0;9.5;5.0;0.0;2728.0;5560.0;1;2714;0.490647482014388;0;2;2710;1;7;0;0.939130434782609;0;108;3;2596;2501
CVE;VarelaVaca2020;False;2008-0028;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0028.afm;security/CVE/VarelaVaca2020-2008-0028;167.0;154.0;5.0;225.0;2.03111111111111;1.34730538922156;0.910179640718563;5.0;12.7692307692308;5.0;0.0;5640.0;11427.0;1;5632;0.493567865581517;0;2;5622;1;11;0;0.934131736526946;1;156;4;5456;5313
CVE;VarelaVaca2020;False;2008-0412;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0412.afm;security/CVE/VarelaVaca2020-2008-0412;151.0;137.0;4.0;118.0;2.55084745762712;0.781456953642384;0.880794701986755;5.0;10.7142857142857;7.0;0.0;3024.0;6216.0;1;2982;0.486486486486487;0;3;2994;1;7;0;0.95364238410596;0;144;3;2844;2720
CVE;VarelaVaca2020;False;2008-0413;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0413.afm;security/CVE/VarelaVaca2020-2008-0413;151.0;137.0;4.0;118.0;2.55084745762712;0.781456953642384;0.880794701986755;5.0;10.7142857142857;7.0;0.0;3024.0;6216.0;1;2982;0.486486486486487;0;3;2994;1;7;0;0.95364238410596;0;144;3;2844;2717
CVE;VarelaVaca2020;False;2008-0414;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0414.afm;security/CVE/VarelaVaca2020-2008-0414;103.0;92.0;4.0;80.0;2.175;0.776699029126214;0.844660194174757;5.0;9.27272727272727;5.0;0.0;2218.0;4529.0;1;2204;0.489732832854935;0;2;2201;1;7;0;0.932038834951456;0;96;3;2099;2014
CVE;VarelaVaca2020;False;2008-0415;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0415.afm;security/CVE/VarelaVaca2020-2008-0415;151.0;137.0;4.0;118.0;2.55084745762712;0.781456953642384;0.880794701986755;5.0;10.7142857142857;7.0;0.0;3024.0;6216.0;1;2982;0.486486486486487;0;3;2994;1;7;0;0.95364238410596;0;144;3;2844;2725
