Name;Origin;PartOfHistory;Version;Domain;Format;Extension;Year;Keywords;Hierarchy;Source;Publication;Path;DescribingPath;#Features;#LeafFeatures;#TopFeatures;#Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;RatioOptionalFeatures;ConnectivityDensity;TreeDepth;AverageNumberOfChildren;Valid;#CORE;#Dead;NumberOfValidConfigurations
e_agribusiness;Pereira2016;False;;e_commerce;SXFM;xml;2016;[];True;https://wwwiti.cs.uni-magdeburg.de/~jualves/PROFilE/;https://doi.org/10.1145/2993236.2993249;feature_models/original/e_commerce/e_agribusiness/Pereira2016.xml;e_commerce/e_agribusiness/Pereira2016;2238.0;2008.0;14.0;0.0;0.0;0.0;0.0;0.9995531724754244;119100.0;5.0;9.72608695652174;True;1.0;1.0;7963925337742103753772434647966477345221221012644615706411534387743513963597092882126701467941887616657769649627320366366466241124894431110910306561184479214226752233650410652875753217398144588197672250408908076196356214793039544497216960257418958202328822237528147758031335615627306777081143502413476432954437647707233689469193834358399478731423802909515390245681475337311556330678423557069107078487421954357844194241657899190799119337774373893485209390740884475817572239198433414806747401330935627554752232935757521734325919373865811969503930893738180608000
e_shop;Lau2006;False;;e_commerce;SXFM;xml;2011;[];True;https://martinfjohansen.com/models2011/spltool/;https://gsd.uwaterloo.ca/sites/default/files/2006-lau-domain-analysis-of-e-commerce-systems-using-feature-based-model-templates.pdf;feature_models/original/e_commerce/e_shop/Lau2006.xml;e_commerce/e_shop/Lau2006;173.0;103.0;1.0;0.0;0.0;0.0;0.0;0.7109826589595376;172.0;13.0;2.4571428571428573;True;50.0;50.0;247496437923840
FinancialServices01;Nieke2018;True;2017-05-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-05-22.xml;finance/FinancialServices01/Nieke2018-2017-05-22;557.0;433.0;3.0;1001.0;3.364635364635365;1.7971274685816876;0.910233393177738;0.947935368043088;4875.0;7.0;4.483870967741935;True;29.0;29.0;430
FinancialServices01;Nieke2018;True;2017-09-28;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-09-28.xml;finance/FinancialServices01/Nieke2018-2017-09-28;704.0;551.0;4.0;1136.0;3.803697183098592;1.6136363636363635;0.9090909090909092;0.9744318181818182;7016.0;7.0;4.594771241830065;True;18.0;18.0;744690
FinancialServices01;Nieke2018;True;2017-10-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-10-20.xml;finance/FinancialServices01/Nieke2018-2017-10-20;712.0;557.0;4.0;1142.0;3.8555166374781087;1.603932584269663;0.9073033707865168;0.973314606741573;7256.0;7.0;4.587096774193548;True;19.0;19.0;747582
FinancialServices01;Nieke2018;True;2017-11-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-11-20.xml;finance/FinancialServices01/Nieke2018-2017-11-20;711.0;556.0;4.0;1148.0;3.8493031358885017;1.6146272855133614;0.9071729957805909;0.9732770745428974;7344.0;7.0;4.580645161290323;True;19.0;19.0;747456
FinancialServices01;Nieke2018;True;2017-12-22;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2017-12-22.xml;finance/FinancialServices01/Nieke2018-2017-12-22;716.0;556.0;4.0;1148.0;3.852787456445993;1.6033519553072626;0.9036312849162011;0.973463687150838;7333.0;7.0;4.46875;True;19.0;19.0;747456
FinancialServices01;Nieke2018;True;2018-01-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-01-23.xml;finance/FinancialServices01/Nieke2018-2018-01-23;712.0;550.0;6.0;1028.0;4.077821011673152;1.4438202247191012;0.898876404494382;0.9747191011235956;7163.0;7.0;4.388888888888889;True;18.0;18.0;749976
FinancialServices01;Nieke2018;True;2018-02-20;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-02-20.xml;finance/FinancialServices01/Nieke2018-2018-02-20;759.0;580.0;6.0;1034.0;4.131528046421663;1.3623188405797102;0.8432147562582345;0.9762845849802372;7330.0;7.0;4.23463687150838;True;18.0;18.0;8153789712768
FinancialServices01;Nieke2018;True;2018-03-26;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-03-26.xml;finance/FinancialServices01/Nieke2018-2018-03-26;771.0;588.0;7.0;1080.0;4.2444444444444445;1.4007782101167314;0.8910505836575876;0.9636835278858624;7639.0;7.0;4.207650273224044;True;25.0;25.0;1925438
FinancialServices01;Nieke2018;True;2018-04-23;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-04-23.xml;finance/FinancialServices01/Nieke2018-2018-04-23;774.0;591.0;7.0;1079.0;4.245597775718258;1.3940568475452195;0.8850129198966409;0.9651162790697676;7676.0;7.0;4.224043715846994;True;23.0;23.0;97451213286236
FinancialServices01;Nieke2018;True;2018-05-09;finance;FeatureIDE;xml;2018;['ManualCreation'];True;https://gitlab.com/evolutionexplanation/evolutionexplanation;https://doi.org/10.1145/3393934.3278123;feature_models/original/finance/FinancialServices01/Nieke2018-2018-05-09.xml;finance/FinancialServices01/Nieke2018-2018-05-09;771.0;587.0;7.0;1080.0;4.305555555555555;1.4007782101167314;0.8988326848249028;0.9714656290531776;7777.0;7.0;4.184782608695652;True;22.0;22.0;97451212554676
bank;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/bank/AlHajjaji2019.xml;finance/bank/AlHajjaji2019;176.0;148.0;3.0;4.0;2.0;0.0227272727272727;0.0284090909090909;0.9034090909090908;268.0;6.0;6.25;True;17.0;17.0;52582279903621926514707790823424
decisional;Mendonca2009;False;;finance;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/finance/decisional/Mendonca2009.xml;finance/decisional/Mendonca2009;142.0;127.0;12.0;88.0;2.0;0.6197183098591549;0.676056338028169;0.908450704225352;3871.0;4.0;9.4;True;13.0;13.0;2751050895375766913110557636480
decisionmaking;AlHajjaji2019;False;;finance;FeatureIDE;xml;2019;[];True;https://wwwiti.cs.uni-magdeburg.de/iti_db/research/spl-testing/;https://doi.org/10.1007/s10270-016-0569-2;feature_models/original/finance/decisionmaking/AlHajjaji2019.xml;finance/decisionmaking/AlHajjaji2019;366.0;344.0;13.0;192.0;4.880208333333333;0.5245901639344263;0.9344262295081968;0.9426229508196722;12667.0;4.0;16.59090909090909;True;21.0;21.0;-1
Tankwar;Schulze2012;False;;games;FeatureIDE;xml;2012;[];True;https://github.com/FeatureIDE/FeatureIDE;https://doi.org/10.1145/.-2110147.2110156;feature_models/original/games/Tankwar/Schulze2012.xml;games/Tankwar/Schulze2012;;;;;;;;;;;;;;;
pc-richmond;Sprey2020;False;;hardware;FeatureIDE;xml;2019;['Manual'];True;https://github.com/Subaro/SMT-Based-Variability-Analyses-for-FeatureIDE;https://doi.org/10.1145/3377024.3377036;feature_models/original/hardware/pc-richmond/Sprey2020.xml;hardware/pc-richmond/Sprey2020;;;;;;;;;;;;;;;
printer;Mendonca2009;False;;hardware;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/hardware/printer/Mendonca2009.xml;hardware/printer/Mendonca2009;;;;;;;;;;;;;;;
routefinding;Mendonca2009;False;;navigation;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/routefinding/Mendonca2009.xml;navigation/routefinding/Mendonca2009;;;;;;;;;;;;;;;
subseacontrolsystem;Mendonca2009;False;;navigation;SXFM;xml;2009;['Manual'];True;http://www.splot-research.org/;https://doi.org/10.1145/1639950.1640002;feature_models/original/navigation/subseacontrolsystem/Mendonca2009.xml;navigation/subseacontrolsystem/Mendonca2009;;;;;;;;;;;;;;;
CVE;VarelaVaca2020;False;2002-2436;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2002-2436.afm;security/CVE/VarelaVaca2020-2002-2436;309.0;295.0;4.0;264.0;3.106060606060606;0.8543689320388349;0.9546925566343042;0.9773462783171522;13829.0;5.0;22.0;True;7.0;7.0;1220
CVE;VarelaVaca2020;False;2002-2437;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2002-2437.afm;security/CVE/VarelaVaca2020-2002-2437;309.0;295.0;4.0;264.0;3.106060606060606;0.8543689320388349;0.9546925566343042;0.9773462783171522;13829.0;5.0;22.0;True;7.0;7.0;1220
CVE;VarelaVaca2020;False;2005-4134;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2005-4134.afm;security/CVE/VarelaVaca2020-2005-4134;102.0;84.0;6.0;37.0;2.3783783783783785;0.3627450980392157;0.4313725490196078;0.0784313725490196;1079.0;5.0;5.611111111111111;True;1.0;1.0;6
CVE;VarelaVaca2020;False;2006-2894;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2006-2894.afm;security/CVE/VarelaVaca2020-2006-2894;138.0;121.0;5.0;76.0;2.1842105263157894;0.5507246376811594;0.6014492753623188;0.0652173913043478;2544.0;5.0;8.058823529411764;True;1.0;1.0;12
CVE;VarelaVaca2020;False;2006-6497;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2006-6497.afm;security/CVE/VarelaVaca2020-2006-6497;129.0;115.0;4.0;96.0;2.489583333333333;0.7441860465116279;0.8604651162790697;0.9457364341085271;1766.0;5.0;9.142857142857142;True;7.0;7.0;440
CVE;VarelaVaca2020;False;2007-0008;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0008.afm;security/CVE/VarelaVaca2020-2007-0008;123.0;107.0;4.0;87.0;2.5402298850574714;0.7073170731707317;0.8292682926829268;0.943089430894309;1695.0;5.0;7.625;True;7.0;7.0;400
CVE;VarelaVaca2020;False;2007-0009;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0009.afm;security/CVE/VarelaVaca2020-2007-0009;133.0;110.0;6.0;55.0;2.6;0.4135338345864661;0.518796992481203;0.0601503759398496;1337.0;5.0;5.739130434782608;True;1.0;1.0;6
CVE;VarelaVaca2020;False;2007-0776;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-0776.afm;security/CVE/VarelaVaca2020-2007-0776;121.0;107.0;4.0;89.0;2.5280898876404496;0.7355371900826446;0.859504132231405;0.9421487603305784;1926.0;5.0;8.571428571428571;True;7.0;7.0;400
CVE;VarelaVaca2020;False;2007-2292;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-2292.afm;security/CVE/VarelaVaca2020-2007-2292;102.0;88.0;5.0;76.0;2.1842105263157894;0.7450980392156863;0.8137254901960784;0.0686274509803921;1994.0;5.0;7.214285714285714;True;1.0;1.0;6
CVE;VarelaVaca2020;False;2007-3073;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-3073.afm;security/CVE/VarelaVaca2020-2007-3073;119.0;105.0;5.0;106.0;2.292452830188679;0.8907563025210085;0.5210084033613446;0.8991596638655462;2493.0;7.0;8.428571428571429;True;12.0;12.0;9744
CVE;VarelaVaca2020;False;2007-4841;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-4841.afm;security/CVE/VarelaVaca2020-2007-4841;145.0;131.0;4.0;112.0;2.580357142857143;0.7724137931034483;0.8758620689655172;0.9517241379310344;2734.0;5.0;10.285714285714286;True;7.0;7.0;520
CVE;VarelaVaca2020;False;2007-4879;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-4879.afm;security/CVE/VarelaVaca2020-2007-4879;105.0;94.0;4.0;82.0;2.1707317073170733;0.780952380952381;0.8476190476190476;0.9333333333333332;2285.0;5.0;9.454545454545457;True;7.0;7.0;360
CVE;VarelaVaca2020;False;2007-5045;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5045.afm;security/CVE/VarelaVaca2020-2007-5045;117.0;104.0;5.0;103.0;1.970873786407767;0.8803418803418803;0.6752136752136753;1.0;2359.0;5.0;8.923076923076923;False;0.0;0.0;0
CVE;VarelaVaca2020;False;2007-5337;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5337.afm;security/CVE/VarelaVaca2020-2007-5337;102.0;87.0;6.0;145.0;2.3793103448275863;1.4215686274509804;0.8431372549019608;0.1078431372549019;2003.0;5.0;6.733333333333333;True;1.0;1.0;7
CVE;VarelaVaca2020;False;2007-5340;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2007-5340.afm;security/CVE/VarelaVaca2020-2007-5340;143.0;129.0;4.0;110.0;2.590909090909091;0.7692307692307693;0.8741258741258742;0.951048951048951;2657.0;5.0;10.142857142857142;True;7.0;7.0;512
CVE;VarelaVaca2020;False;2008-0016;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0016.afm;security/CVE/VarelaVaca2020-2008-0016;115.0;103.0;4.0;91.0;2.1538461538461537;0.7913043478260869;0.8521739130434782;0.9391304347826088;2710.0;5.0;9.5;True;7.0;7.0;396
CVE;VarelaVaca2020;False;2008-0028;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0028.afm;security/CVE/VarelaVaca2020-2008-0028;167.0;154.0;5.0;225.0;2.031111111111111;1.347305389221557;0.9101796407185628;0.934131736526946;5622.0;5.0;12.76923076923077;True;11.0;11.0;1168
CVE;VarelaVaca2020;False;2008-0412;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0412.afm;security/CVE/VarelaVaca2020-2008-0412;151.0;137.0;4.0;118.0;2.5508474576271185;0.7814569536423841;0.8807947019867549;0.9536423841059604;2994.0;5.0;10.714285714285714;True;7.0;7.0;544
CVE;VarelaVaca2020;False;2008-0413;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0413.afm;security/CVE/VarelaVaca2020-2008-0413;151.0;137.0;4.0;118.0;2.5508474576271185;0.7814569536423841;0.8807947019867549;0.9536423841059604;2994.0;5.0;10.714285714285714;True;7.0;7.0;544
CVE;VarelaVaca2020;False;2008-0414;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0414.afm;security/CVE/VarelaVaca2020-2008-0414;103.0;92.0;4.0;80.0;2.175;0.7766990291262136;0.8446601941747572;0.9320388349514565;2201.0;5.0;9.272727272727272;True;7.0;7.0;352
CVE;VarelaVaca2020;False;2008-0415;security;SXFM;afm;2020;[];True;https://github.com/IDEA-Research-Group/AMADEUS;https://doi.org/10.1145/3382025.3414952;feature_models/original/security/CVE/VarelaVaca2020-2008-0415.afm;security/CVE/VarelaVaca2020-2008-0415;151.0;137.0;4.0;118.0;2.5508474576271185;0.7814569536423841;0.8807947019867549;0.9536423841059604;2994.0;5.0;10.714285714285714;True;7.0;7.0;544
